name,symbol,exchange,contract_url,size,unit,margin,fluctuation,quotation_unit
黄金期货,au,SHFE,http://www.shfe.com.cn/products/au/standard/173.html,1000,克/手,0.04,0.02,元/克
白银期货,ag,SHFE,http://www.shfe.com.cn/products/ag/standard/184.html,15,千克/手,0.04,1,元/千克
铜期货,cu,SHFE,http://www.shfe.com.cn/products/cu/standard/90.html,5,吨/手,0.05,10,元/吨
铝期货,al,SHFE,http://www.shfe.com.cn/products/al/standard/156.html,5,吨/手,0.05,5,元/吨
锌期货,zn,SHFE,http://www.shfe.com.cn/products/zn/standard/159.html,5,吨/手,0.05,5,元/吨
铅期货,pb,SHFE,http://www.shfe.com.cn/products/pb/standard/167.html,5,吨/手,0.05,5,元/吨
镍期货,ni,SHFE,http://www.shfe.com.cn/products/ni/standard/911322404.html,1,吨/手,0.05,10,元/吨
锡期货,sn,SHFE,http://www.shfe.com.cn/products/sn/standard/911322411.html,1,吨/手,0.05,10,元/吨
螺纹钢期货,rb,SHFE,http://www.shfe.com.cn/products/rb/standard/194.html,10,吨/手,0.05,1,元/吨
线材期货,wr,SHFE,http://www.shfe.com.cn/products/wr/standard/217.html,10,吨/手,0.07,1,元/吨
热轧卷板期货,hc,SHFE,http://www.shfe.com.cn/products/hc/standard/911319779.html,10,吨/手,0.07,1,元/吨
不锈钢期货,ss,SHFE,http://www.shfe.com.cn/products/ss/standard/text/,5,吨/手,0.05,5,元/吨
燃料油期货,fu,SHFE,http://www.shfe.com.cn/products/fu/standard/225.html,10,吨/手,0.08,1,元/吨
沥青期货,bu,SHFE,http://www.shfe.com.cn/products/bu/standard/233.html,10,吨/手,0.04,2,元/吨
天然橡胶期货,ru,SHFE,http://www.shfe.com.cn/products/ru/standard/240.html,10,吨/手,0.05,5,元/吨
纸浆期货,sp,SHFE,http://www.shfe.com.cn/products/sp/standard/text/,10,吨/手,0.04,2,元/吨
玉米期货,c,DCE,http://www.dce.com.cn/dalianshangpin/sspz/ym/hyygz/486238/index.html,10,吨/手,0.05,1,元/吨
