symbol,start,end,period
DCE.c2101,20200116,20210115,86400
DCE.c2101,20200116,20210115,60
DCE.c2101,20200116,20210115,0
KQ.m@DCE.c,20160101,20210115,86400
KQ.m@DCE.c,20160101,20210115,60
SHFE.ag2012,20191217,20201215,86400
SHFE.ag2012,20191217,20201215,60
SHFE.ag2012,20191217,20201215,0
KQ.m@SHFE.ag,20160101,20210115,86400
KQ.m@SHFE.ag,20160101,20210115,60
SHFE.au2012,20191118,20201215,86400
SHFE.au2012,20191118,20201215,60
SHFE.au2012,20191118,20201215,0
KQ.m@SHFE.au,20160101,20210115,86400
KQ.m@SHFE.au,20160101,20210115,60
